id_evenement,event_name_fr,event_name_en,age_category,id_epreuve,id_edition
159249,7.5km Sprint - Women,7.5km Sprint - Women,Senior,6803,35897
159250,10km Sprint - Men,10km Sprint - Men,Senior,531,35897
159251,10km Pursuit - Women,10km Pursuit - Women,Senior,6804,35897
159252,12.5km Pursuit - Men,12.5km Pursuit - Men,Senior,532,35897
159253,15km Individual - Women,15km Individual - Women,Senior,6809,35897
159254,20km Individual - Men,20km Individual - Men,Senior,247,35897
159255,12.5km Mass Start - Women,12.5km Mass Start - Women,Senior,853,35897
159256,15km Mass Start - Men,15km Mass Start - Men,Senior,406,35897
159257,4 x 6km Relay - Mixed,4 x 6km Relay - Mixed,Senior,893833,35897
159258,4 x 6km Relay - Women,4 x 6km Relay - Women,Senior,1074,35897
159259,4 x 7.5km Relay - Men,4 x 7.5km Relay - Men,Senior,101,35897
162282,Doubles - Mixed,Doubles - Mixed,Senior,6041,45827
162414,Team - Men,Team - Men,Senior,889202,45807
162415,Team - Women,Team - Women,Senior,896099,45807
162416,Team - Men,Team - Men,Senior,237,45827
162417,Team - Women,Team - Women,Senior,27758,45827
229947,2 x 7.5km Skiathlon - Women,2 x 7.5km Skiathlon - Women,Senior,889302,45578
229948,Sprint Freestyle - Men,Sprint Freestyle - Men,Senior,889797,45578
229949,Sprint Freestyle - Women,Sprint Freestyle - Women,Senior,894199,45578
229950,Team Sprint Classic Style - Men,Team Sprint Classic Style - Men,Senior,636,45578
229951,10km Classic Style - Women,10km Classic Style - Women,Senior,893138,45578
229952,50km Freestyle - Men,50km Freestyle - Men,Senior,409,45578
229953,Gundersen Large Hill / 10km - Men,Gundersen Large Hill / 10km - Men,Senior,889798,45579
229954,2-Man Competition - Men,2-Man Competition - Men,Senior,391,45628
229955,2-Man Competition - Women,2-Man Competition - Women,Senior,26546,45628
229956,Individual - Men,Individual - Men,Senior,271,54901
229957,Individual - Women,Individual - Women,Senior,6972,54901
229985,Parallel Giant Slalom - Women,Parallel Giant Slalom - Women,Senior,895493,54915
229986,Halfpipe - Men,Halfpipe - Men,Senior,889307,54915
229987,Snowboard Cross - Men,Snowboard Cross - Men,Senior,416,54915
229988,Slopestyle - Men,Slopestyle - Men,Senior,889818,54915
229989,Slopestyle - Women,Slopestyle - Women,Senior,894738,54915
229990,Big Air - Men,Big Air - Men,Senior,889576,54915
229991,Snowboard Cross Team - Mixed,Snowboard Cross Team - Mixed,Senior,893630,54915
229992,Team - Mixed,Team - Mixed,Senior,6647,54916
229993,Pairs - Mixed,Pairs - Mixed,Senior,1446,54916
229994,Ice Dance - Mixed,Ice Dance - Mixed,Senior,1436,54916
229999,500m - Men,500m - Men,Senior,260,45641
230000,1500m - Men,1500m - Men,Senior,420,45641
230001,500m - Women,500m - Women,Senior,6955,45641
230002,1000m - Women,1000m - Women,Senior,6956,45641
230003,1500m - Women,1500m - Women,Senior,6957,45641
230004,2000m Relay - Mixed,2000m Relay - Mixed,Senior,896598,45641
230005,Single - Women,Single - Women,Senior,6973,45642
230158,Aerials - Men,Aerials - Men,Senior,117,54943
230159,Moguls - Men,Moguls - Men,Senior,119,54943
230160,Aerials - Women,Aerials - Women,Senior,894987,54943
230161,Big Air - Women,Big Air - Women,Senior,6951,54943
230704,500m - Women,500m - Women,Senior,27828,54962
230705,5000m - Men,5000m - Men,Senior,139,54962
230706,3000m - Women,3000m - Women,Senior,6971,54962
230707,10000m - Men,10000m - Men,Senior,437,54962
230708,5000m - Women,5000m - Women,Senior,27820,54962
230709,Mass Start 16 Laps - Men,Mass Start 16 Laps - Men,Senior,782,54962
230710,Mass Start 16 Laps - Women,Mass Start 16 Laps - Women,Senior,27824,54962
230752,Slalom - Men,Slalom - Men,Senior,461,45720
230753,Giant Slalom - Men,Giant Slalom - Men,Senior,310,45720
230754,Super G - Men,Super G - Men,Senior,26,45720
231730,2 x 15km Skiathlon - Men,2 x 15km Skiathlon - Men,Senior,114,45578
231731,Team Sprint Classic Style - Women,Team Sprint Classic Style - Women,Senior,896340,45578
231732,4 x 10km Relay - Men,4 x 10km Relay - Men,Senior,536,45578
231733,4 x 5km Relay - Women,4 x 5km Relay - Women,Senior,894167,45578
231734,15km Classic Style - Men,15km Classic Style - Men,Senior,109,45578
231735,30km Freestyle - Women,30km Freestyle - Women,Senior,895665,45578
231736,Gundersen Normal Hill / 10km - Men,Gundersen Normal Hill / 10km - Men,Senior,889416,45579
231737,Team Large Hill / 4 x 5km - Men,Team Large Hill / 4 x 5km - Men,Senior,889415,45579
231738,4-Man Competition - Open,4-Man Competition - Open,Senior,895209,45628
231739,Monobob - Women,Monobob - Women,Senior,27803,45628
231771,Parallel Giant Slalom - Men,Parallel Giant Slalom - Men,Senior,889427,54915
231772,Halfpipe - Women,Halfpipe - Women,Senior,894646,54915
231773,Snowboard Cross - Women,Snowboard Cross - Women,Senior,6651,54915
231774,Big Air - Women,Big Air - Women,Senior,894553,54915
231775,Singles - Men,Singles - Men,Senior,404,54916
231776,Singles - Women,Singles - Women,Senior,6646,54916
231780,1000m - Men,1000m - Men,Senior,258,45641
231781,5000m Relay - Men,5000m Relay - Men,Senior,122,45641
231782,3000m Relay - Women,3000m Relay - Women,Senior,6953,45641
231783,Single - Men,Single - Men,Senior,91,45642
231784,Double - Open,Double - Open,Senior,27839,45642
231785,Team - Relay - Mixed,Team - Relay - Mixed,Senior,1445,45642
231792,Individual - Normal Hill - Men,Individual - Normal Hill - Men,Senior,889278,45643
231793,Individual - Large Hill - Men,Individual - Large Hill - Men,Senior,889674,45643
231794,Team - Large Hill - Men,Team - Large Hill - Men,Senior,889555,45643
231795,Individual - Normal Hill - Women,Individual - Normal Hill - Women,Senior,894622,45643
231796,Team - Normal Hill - Mixed,Team - Normal Hill - Mixed,Senior,894530,45643
231837,Ski Cross - Men,Ski Cross - Men,Senior,637,54943
231838,Halfpipe - Men,Halfpipe - Men,Senior,664,54943
231839,Slopestyle - Men,Slopestyle - Men,Senior,889841,54943
231840,Big Air - Men,Big Air - Men,Senior,892536,54943
231841,Moguls - Women,Moguls - Women,Senior,6948,54943
231842,Ski Cross - Women,Ski Cross - Women,Senior,6801,54943
231843,Halfpipe - Women,Halfpipe - Women,Senior,894187,54943
231844,Slopestyle - Women,Slopestyle - Women,Senior,6634,54943
231845,Aerials Team - Mixed,Aerials Team - Mixed,Senior,5941,54943
232137,500m - Men,500m - Men,Senior,433,54962
232138,1000m - Men,1000m - Men,Senior,138,54962
232139,1000m - Women,1000m - Women,Senior,27814,54962
232140,1500m - Men,1500m - Men,Senior,436,54962
232141,1500m - Women,1500m - Women,Senior,27810,54962
232142,Team Pursuit 8 Laps - Men,Team Pursuit 8 Laps - Men,Senior,4,54962
232143,Team Pursuit 6 Laps - Women,Team Pursuit 6 Laps - Women,Senior,1101,54962
232192,Alpine Combined - Men,Alpine Combined - Men,Senior,24,45720
232193,Downhill - Men,Downhill - Men,Senior,25,45720
232194,Alpine Combined - Women,Alpine Combined - Women,Senior,895537,45720
232195,Downhill - Women,Downhill - Women,Senior,6813,45720
232196,Slalom - Women,Slalom - Women,Senior,893624,45720
232197,Giant Slalom - Women,Giant Slalom - Women,Senior,6790,45720
